Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTime_sec,TrackStatus,AirTemp,TrackTemp,IsPersonalBest
GAS,Alpine,35.0,3.0,HARD,10.0,98.088,1,26.6,29.6,False
TSU,AlphaTauri,35.0,3.0,HARD,9.0,98.163,1,26.6,29.6,False
SAR,Williams,35.0,3.0,HARD,5.0,98.029,1,26.6,29.6,False
DEV,AlphaTauri,35.0,3.0,HARD,8.0,98.123,1,26.6,29.6,False
ZHO,Alfa Romeo,35.0,3.0,SOFT,6.0,97.55,1,26.6,29.6,False
VER,Red Bull Racing,36.0,2.0,SOFT,22.0,100.964,1,26.6,29.6,False
MAG,Haas F1 Team,35.0,3.0,SOFT,6.0,97.46,1,26.6,29.6,False
HUL,Haas F1 Team,35.0,3.0,HARD,9.0,98.093,1,26.6,29.6,False
NOR,McLaren,35.0,4.0,MEDIUM,8.0,97.87,1,26.6,29.6,False
PER,Red Bull Racing,36.0,3.0,HARD,2.0,96.82,1,26.6,29.6,True
LEC,Ferrari,36.0,3.0,HARD,3.0,97.313,1,26.6,29.6,True
OCO,Alpine,35.0,4.0,HARD,3.0,96.964,1,26.6,29.6,False
SAI,Ferrari,36.0,3.0,HARD,5.0,97.706,1,26.6,29.6,False
HAM,Mercedes,36.0,3.0,HARD,6.0,96.546,1,26.6,29.6,True
ALO,Aston Martin,36.0,3.0,HARD,2.0,96.156,1,26.6,29.6,True
STR,Aston Martin,36.0,3.0,HARD,6.0,97.72,1,26.6,29.6,False
RUS,Mercedes,36.0,3.0,HARD,5.0,97.607,1,26.6,29.6,False
BOT,Alfa Romeo,36.0,3.0,HARD,7.0,97.827,1,26.6,29.6,False
ALB,Williams,36.0,3.0,HARD,10.0,98.176,1,26.6,29.6,False
GAS,Alpine,36.0,3.0,HARD,11.0,98.184,1,26.6,29.6,False
TSU,AlphaTauri,36.0,3.0,HARD,10.0,98.059,1,26.6,29.6,False
SAR,Williams,36.0,3.0,HARD,6.0,97.717,1,26.6,29.5,False
DEV,AlphaTauri,36.0,3.0,HARD,9.0,98.206,1,26.6,29.5,False
ZHO,Alfa Romeo,36.0,3.0,SOFT,7.0,97.957,1,26.6,29.5,False
MAG,Haas F1 Team,36.0,3.0,SOFT,7.0,97.754,1,26.6,29.5,False
HUL,Haas F1 Team,36.0,3.0,HARD,10.0,98.245,1,26.6,29.5,False
VER,Red Bull Racing,37.0,3.0,HARD,1.0,118.49,1,26.6,29.5,False
NOR,McLaren,36.0,4.0,MEDIUM,9.0,99.886,1,26.6,29.5,False
PER,Red Bull Racing,37.0,3.0,HARD,3.0,96.344,1,26.6,29.5,True
LEC,Ferrari,37.0,3.0,HARD,4.0,97.17,1,26.6,29.5,True
OCO,Alpine,36.0,4.0,HARD,4.0,97.364,1,26.6,29.5,False
